id,name,temp,date_time,pressure,humidity,pm1,pm2_5,pm10,day
1,HS9AN-10,27.2,3/25/2021,996.0,72.0,4.0,4.0,5.0,Thursday
2,HS9AS-10,30.0,12/26/2020,1007.0,66.0,4.0,7.0,9.0,Saturday
3,HS9AT-10,34.4,3/25/2021,1002.0,68.0,22.0,32.0,37.0,Thursday
4,HS8AK-10,37.8,3/25/2021,1006.0,66.0,10.0,17.0,20.0,Thursday
5,HS8AT-10,38.3,3/25/2021,1005.0,61.0,6.0,5.0,5.0,Thursday
6,E23JWE-1,33.3,3/25/2021,1006.0,66.0,3.0,4.0,4.0,Thursday
7,HS8KF-10,37.2,3/25/2021,1005.0,70.0,0.0,0.0,0.0,Thursday
8,HS8INB-1,32.8,3/25/2021,1003.0,86.0,0.0,0.0,0.0,Thursday
9,E29RZQ,28.9,3/25/2021,1006.0,76.0,0.0,0.0,0.0,Thursday
10,HS8KAY,35.0,3/25/2021,1007.0,52.0,0.0,0.0,0.0,Thursday
11,E29AE-8,32.2,3/25/2021,996.0,72.0,0.0,0.0,0.0,Thursday
12,E29WWT-2,36.1,3/25/2021,1007.0,66.0,0.0,0.0,0.0,Thursday
13,HS8AC-10,28.3,12/15/2020,1005.0,68.0,0.0,0.0,0.0,Tuesday
14,HS7AJ-10,36.7,3/25/2021,1006.0,66.0,21.0,31.0,36.0,Thursday
15,HS7AP-10,38.9,3/25/2021,1005.0,61.0,23.0,39.0,46.0,Thursday
16,HS2KYA-5,30.0,3/25/2021,1006.0,66.0,0.0,0.0,0.0,Thursday
17,HS2KYA-1,32.8,3/25/2021,1005.0,70.0,0.0,0.0,0.0,Thursday
18,HS2AB-10,38.9,3/25/2021,1003.0,86.0,0.0,0.0,0.0,Thursday
19,HS2UJE-10,33.9,3/25/2021,1006.0,76.0,10.0,12.0,12.0,Thursday
20,HS2QJJ-14,23.3,1/11/2021,1012.9,100.0,0.0,0.0,0.0,Monday
21,HS2AR-10,33.3,3/25/2021,996.0,72.0,6.0,7.0,8.0,Thursday
22,E21TMW-3,33.3,3/25/2021,1007.0,66.0,0.0,0.0,0.0,Thursday
23,E27EHM-3,32.8,3/14/2021,1003.0,58.0,0.0,0.0,0.0,Sunday
24,E22ERY-2,37.8,3/25/2021,1006.0,66.0,0.0,0.0,0.0,Thursday
25,E27HCD-1,37.2,3/25/2021,1005.0,61.0,0.0,0.0,0.0,Thursday
26,E24OWX-2,35.6,3/25/2021,1006.0,66.0,0.0,0.0,0.0,Thursday
27,E27HUQ-3,35.0,3/25/2021,1005.0,70.0,12.0,15.0,16.0,Thursday
28,E23GYM-1,36.7,3/25/2021,1003.0,86.0,0.0,0.0,0.0,Thursday
29,HS0QKD-2,32.8,3/25/2021,1006.0,76.0,0.0,0.0,0.0,Thursday
30,HS2XQB-3,25.6,3/25/2021,1007.0,52.0,0.0,0.0,0.0,Thursday
31,E24CI-1,31.7,3/25/2021,996.0,72.0,0.0,0.0,0.0,Thursday
32,HS0QKD-3,34.4,3/25/2021,1007.0,66.0,37.0,51.0,52.0,Thursday
33,HS5SQI-1,36.1,3/25/2021,1002.0,68.0,0.0,0.0,0.0,Thursday
34,HS2GJW-1,30.0,3/20/2021,1006.0,66.0,0.0,0.0,0.0,Saturday
